domain_id	adjpid
A0A033U9S4.1/700-783	0.904109589041096
A0A033U9S4.1/614-697	0.904109589041096
A0A033UD33.1/66-166	0.738095238095238
A0A033UD33.1/1-56	0.738095238095238
A0A062WZG8.1/1473-1548	0.706666666666667
A0A062WZG8.1/1397-1472	0.706666666666667
A0A062WZG8.1/1309-1384	0.746666666666667
A0A062WZG8.1/1233-1308	0.84
A0A062WZG8.1/1157-1232	0.84
A0A062WZG8.1/1082-1156	0.716216216216216
A0A062XA95.1/1148-1224	0.904109589041096
A0A062XA95.1/1071-1147	0.904109589041096
A0A062XA95.1/994-1070	0.816901408450704
A0A062XA95.1/917-993	0.816901408450704
A0A062XA95.1/840-916	0.813333333333333
A0A062XA95.1/763-839	0.866666666666667
A0A062XA95.1/686-762	0.866666666666667
A0A062XA95.1/609-685	0.84
A0A062XA95.1/532-608	0.89041095890411
A0A062XA95.1/455-531	0.89041095890411
A0A076NNI8.1/1104-1203	0.942857142857143
A0A076NNI8.1/998-1097	0.942857142857143
A0A087QA93.1/2523-2598	0.945945945945946
A0A087QA93.1/2442-2517	0.945945945945946
A0A087QAI2.1/2141-2223	0.985915492957746
A0A087QAI2.1/2050-2133	0.985915492957746
A0A0E4H6L8.1/829-903	1
A0A0E4H6L8.1/751-825	1
A0A0E4H6L8.1/673-747	1
A0A0E4H6L8.1/595-669	1
A0A0E4H6L8.1/517-591	1
A0A0E4H6L8.1/439-513	1
A0A0E4H6L8.1/361-435	1
A0A0E4H6L8.1/283-357	1
A0A0K9ET91.1/1328-1420	0.728571428571429
A0A0K9ET91.1/1235-1326	0.728571428571429
A0A0R1S025.1/437-511	0.956521739130435
A0A0R1S025.1/350-423	0.978260869565217
A0A0R1S025.1/261-335	1
A0A0R1S025.1/174-247	1
A0A0R1TT79.1/586-661	1
A0A0R1TT79.1/510-585	1
A0A0R1TT79.1/434-509	0.826666666666667
A0A0R1TT79.1/358-433	0.813333333333333
A0A0R1TT79.1/282-357	0.863636363636364
A0A0R1TT79.1/256-281	0.863636363636364
A0A0R1TT79.1/172-229	0.789473684210526
A0A0R1TT79.1/96-171	0.866666666666667
A0A0R1TT79.1/20-95	0.866666666666667
A0A0R1TWW2.1/162-238	0.84
A0A0R1TWW2.1/85-161	0.853333333333333
A0A0R1TWW2.1/8-84	0.853333333333333
A0A0R1U4D6.1/1118-1193	0.934210526315789
A0A0R1U4D6.1/1037-1112	0.934210526315789
A0A0R1U4D6.1/956-1031	0.842105263157895
A0A0R1UCQ1.1/846-921	0.933333333333333
A0A0R1UCQ1.1/765-840	0.933333333333333
A0A0R1UCQ1.1/686-761	0.906666666666667
A0A0R1WLG2.1/1188-1263	0.746666666666667
A0A0R1WLG2.1/1109-1184	0.921052631578947
A0A0R1WLG2.1/1030-1105	0.921052631578947
A0A0X8FA68.1/1890-1965	0.906666666666667
A0A0X8FA68.1/1812-1887	0.906666666666667
A0A0X8FA68.1/1734-1809	0.881578947368421
A0A0X8FA68.1/1656-1731	1
A0A0X8FA68.1/1578-1653	1
A0A0X8FA68.1/1500-1575	0.868421052631579
A0A0X8FA68.1/1422-1497	0.868421052631579
A0A0X8FKH8.1/1478-1553	0.986666666666667
A0A0X8FKH8.1/1399-1474	1
A0A0X8FKH8.1/1320-1395	1
A0A0X8FKH8.1/1241-1316	1
A0A0X8FKH8.1/1162-1237	1
A0A0X8FKH8.1/1083-1158	0.96
A0A133PZF4.1/153-186	0.848484848484849
A0A133PZF4.1/67-150	0.848484848484849
A0A133PZF4.1/1-65	0.777777777777778
A0A133PZW3.1/1079-1162	0.808219178082192
A0A133PZW3.1/995-1077	0.808219178082192
A0A133Q030.1/96-178	0.851351351351351
A0A133Q030.1/10-93	0.851351351351351
A0A133Q0X2.1/209-292	0.863013698630137
A0A133Q0X2.1/124-207	0.986666666666667
A0A133Q0X2.1/39-122	0.986666666666667
A0A133Q0X2.1/1-37	0.939393939393939
A0A1B1NXN1.1/886-962	0.850746268656716
A0A1B1NXN1.1/789-865	0.985074626865672
A0A1B1NXN1.1/692-768	0.985074626865672
A0A1B1NXN1.1/589-671	0.78125
A0A1B1NXU8.1/1812-1895	0.972602739726027
A0A1B1NXU8.1/1726-1809	0.972602739726027
A0A1B1NXU8.1/1640-1723	0.821917808219178
A0A1B1NXU8.1/1554-1637	0.802816901408451
A0A1B1NXU8.1/1468-1551	0.808219178082192
A0A1B1NXU8.1/1382-1465	1
A0A1B1NXU8.1/1296-1379	1
A0A1B1NXU8.1/1210-1293	0.945205479452055
A0A1B1NXU8.1/1124-1207	0.986301369863014
A0A1B1NXU8.1/1038-1121	0.986301369863014
A0A1B1NXU8.1/952-1035	0.958904109589041
A0A1G7UYD9.1/390-473	0.722222222222222
A0A1G7UYD9.1/300-383	0.875
A0A1G7UYD9.1/210-293	0.875
A0A1G7UYD9.1/120-203	0.714285714285714
A0A1G7UYD9.1/32-115	0.88
A0A1G7UYD9.1/1-27	0.88
A0A1G8Q4Y2.1/252-335	0.892307692307692
A0A1G8Q4Y2.1/165-248	0.892307692307692
A0A1G8Q4Y2.1/77-160	0.777777777777778
A0A1G8Q4Y2.1/1-74	0.777777777777778
A0A1Q8E7V0.1/700-776	0.810810810810811
A0A1Q8E7V0.1/621-697	0.810810810810811
A0A1Q8E7V0.1/542-618	0.797297297297297
A0A1V2SNX8.1/1669-1741	0.917808219178082
A0A1V2SNX8.1/1593-1665	0.917808219178082
A0A1V2SNX8.1/1517-1589	0.753424657534247
A0A1V2SNX8.1/1441-1513	0.726027397260274
A0A1V2SNX8.1/1365-1437	0.958904109589041
A0A1V2SNX8.1/1289-1361	0.958904109589041
A0A1V2SNX8.1/1213-1285	0.821917808219178
A0A1V2SNX8.1/1137-1209	0.821917808219178
A0A1V2SNX8.1/1061-1133	0.821917808219178
A0A1V2SNX8.1/985-1057	0.847222222222222
A0A1V2SNX8.1/909-981	0.847222222222222
A0A1V2SNX8.1/833-905	0.863013698630137
A0A1V2SNX8.1/757-829	0.89041095890411
A0A1V2SNX8.1/681-753	0.89041095890411
A0A1V2SNX8.1/605-677	0.876712328767123
A0A1V2SNX8.1/529-601	0.876712328767123
A0A1V2SNX8.1/453-525	0.931506849315068
A0A1V2SNX8.1/377-449	0.931506849315068
A0A1V2SP76.1/1160-1263	0.938461538461538
